X,Y,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,Wilaya,moughataa,commune,icon_url
-15.5786823481321,20.5007908679545,"064",,,,,,-1,0,-1,,,Nauodhibou,chami,chami,./0.png
-14.4030753336847,20.818999260664,Ahmeiem,Longitude: -14.40307533<br>Latitude: 20.81899924,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-15.4581375047565,20.5671028699726,Angola,Longitude: -15.45813747<br>Latitude: 20.56710284,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-13.833087394014,19.253401402384,Awala,,,,,,-1,0,-1,,,Adrar,Aoujeft,Medah,./0.png
-15.6019150558859,20.9210910089314,Azalat Ahmoud,Longitude: -15.60191506<br>Latitude: 20.92109097,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Boulenouar,./0.png
-12.7555347327143,16.6577874217182,Bedemiane,,,,,,-1,0,-1,,,Assaba,Barkeol,El Ghabra,./0.png
-12.5270299706608,22.7325900178403,CENTRE ZOUERATE,,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-6.21117867529392,25.677876546979,Cheguatte,Longitude: -6.211178701<br>Latitude: 25.67787657,,,,,-1,0,-1,,,Tiris Zemour,Birmoughrien,Birmoughrien,./0.png
-15.1789835002273,20.3491756506264,Dawas,Longitude: -15.17898347<br>Latitude: 20.34917567,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-13.4525358304381,19.0350494720042,El moukhenze,,,,,,-1,0,-1,,,Adrar,Aoujeft,Medah,./0.png
-12.9110546596348,17.2758868150413,Elhijara,Longitude: -12.9110547<br>Latitude: 17.27588678,,,,,-1,0,-1,,,Brakna,M'bagne,ouad amour,./0.png
-15.2350671496242,20.2006600610912,Ewlad Daoud,Longitude: -15.23506718<br>Latitude: 20.20066007,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-8.68882508017123,24.0246805083007,Ghalbe Akhdar,Longitude: -8.688825091<br>Latitude: 24.02468048,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-8.69719432666898,24.0201087668538,Ghalbe Akhdar اكليب لخظر,Longitude: -8.688825091<br>Latitude: 24.02468048,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-15.5825861357152,21.2447540927678,Graret Seneyne,Longitude: -15.5825861<br>Latitude: 21.24475412,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Boulenouar,./0.png
-12.0633939653635,23.4112149663269,كلب اجراد,,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-13.5992135200649,17.8197046928108,Hajr Naga,,,,,,-1,0,-1,,,Brakna,M'bagne,Magtalahjar,./0.png
-15.1083140820265,20.4729852452874,Ichekran,Longitude: -15.1083141<br>Latitude: 20.47298527,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-14.9077272601426,20.4899102356285,Ichikrane,Longitude: -14.90772727<br>Latitude: 20.48991026,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-15.5728029459715,20.8163347374648,Kneyvissat 1,Longitude: -15.57280297<br>Latitude: 20.81633473,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Boulenouar,./0.png
-15.5671751685441,20.8352647628635,Kneyvissat 2,Longitude: -15.56717516<br>Latitude: 20.83526474,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Boulenouar,./0.png
-15.7646980695426,20.6552635598928,Lehdeib2,Longitude: -15.76469807<br>Latitude: 20.65526359,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Boulenouar,./0.png
